profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,10,False,2274,0,4,4150,4150,0,5094,1220,1680,20,2174,6227,21,77,31,28,12,16,3,31,15,15,1,5,0,4,5.25,121.101,2.71,57.081,60,0.571,0.734
Investigator,2346,12346,10,False,2099,0,4,3885,3885,1,5091,1196,1866,30,1999,8230,23,78,33,31,14,16,2,38,7,13,2,6,0,4,4.5,125.514,2.909,61.455,60.606,0.59,0.801
Investigator,2347,12347,10,False,1464,0,4,3140,3140,0,4514,1188,1942,20,1364,8428,22,78,27,25,10,14,2,32,19,18,1,5,0,4,6.5,121.861,2.889,66.685,58.148,0.59,0.707
Investigator,2348,12348,10,False,1848,0,4,4330,4330,1,5152,1269,2115,20,1748,7832,26,74,35,33,8,24,2,24,15,19,1,5,0,4,6,130.289,2.829,69.429,61.143,0.568,0.707
Investigator,2349,12349,10,False,1875,0,4,4065,4065,0,5218,1266,2167,10,1775,10453,24,77,29,26,12,14,3,32,16,14,0,4,0,4,7,120.048,2.759,67.862,71.724,0.519,0.764
Investigator,2350,12350,10,False,616,0,4,2610,3292.5,0,3929,1238,2145,30,516,8327,26,63,35,33,10,21,2,21,7,21,2,6,0,4,6.5,124.425,2.543,51.386,50.857,0.698,0.778
Investigator,2351,12351,10,False,2841,0,4,4837.5,4837.5,3,6202,1265,2176,20,2741,7731,26,71,33,33,13,19,0,28,10,12,1,5,0,4,6.75,128.809,2.848,69.682,61.212,0.563,0.752
Investigator,2352,12352,10,False,3555,0,4,7060,7060,5,6814,1236,2113,10,3455,9370,24,74,42,40,21,19,2,26,6,11,0,4,0,4,7,124.292,2.905,72.548,68.095,0.662,0.803
Investigator,2353,12353,10,False,1516,0,4,4270,4270,2,4826,1287,2113,10,1416,8490,24,77,33,32,11,21,1,34,10,20,0,4,0,4,7,132.721,2.636,66.788,58.182,0.545,0.696
Investigator,2354,12354,10,False,1493,0,4,3757.5,3757.5,3,4589,1153,2013,30,1393,7607,24,73,37,36,14,20,1,23,13,15,2,6,0,4,5.5,138.113,2.649,63.216,47.568,0.562,0.69
