profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,3,True,0,219,1,0,0,0,0,319,0,0,-319,0,0,24,0,0,0,0,0,0,24,0,0,3,2,1,1,0,0,0,1,1
Investigator,2346,12346,3,True,0,210,1,0,0,0,0,310,0,0,-310,0,0,24,0,0,0,0,0,0,24,0,0,3,2,1,1,0,0,0,1,1
Investigator,2347,12347,3,True,0,258,1,0,0,0,0,348,0,10,-358,0,0,24,0,0,0,0,0,0,24,0,0,4,3,1,1,0,0,0,1,1
Investigator,2348,12348,3,True,0,219,1,0,0,0,0,319,0,0,-319,0,0,24,0,0,0,0,0,0,24,0,0,3,2,1,1,0,0,0,1,1
Investigator,2349,12349,3,True,0,186,1,0,20,0,40,316,0,10,-286,55,0,24,2,2,1,0,0,0,22,0,1,4,2,1,1,110,15,20,1,1
Investigator,2350,12350,3,True,0,258,1,0,0,0,0,348,0,10,-358,0,0,24,0,0,0,0,0,0,24,0,0,4,3,1,1,0,0,0,1,1
Investigator,2351,12351,3,True,0,219,1,0,0,0,0,319,0,0,-319,0,0,24,0,0,0,0,0,0,24,0,0,3,2,1,1,0,0,0,1,1
Investigator,2352,12352,3,True,0,179,1,0,21.5,2,40,319,0,0,-279,50,0,24,2,2,2,0,0,0,22,0,0,3,2,1,1,107.5,15,20,1,1
Investigator,2353,12353,3,True,0,210,1,0,0,0,0,310,0,0,-310,0,0,24,0,0,0,0,0,0,24,0,0,3,2,1,1,0,0,0,1,1
Investigator,2354,12354,3,True,0,210,1,0,0,0,0,310,0,0,-310,0,0,24,0,0,0,0,0,0,24,0,0,3,2,1,1,0,0,0,1,1
Middle-ground,2345,22345,10,False,0,0,1,10,30,0,105,261,0,0,-156,143,0,21,6,3,0,2,3,0,15,3,1,3,2,0,0,52.917,15,30,0.571,0.302
Middle-ground,2346,22346,6,True,0,73,1,0,120,0,379,542,0,10,-173,399,0,38,16,12,0,10,4,0,22,8,2,4,1,1,1,69.844,13.594,22.5,0.421,0.354
Middle-ground,2347,22347,6,True,0,95,1,0,121.5,0,429,604,0,20,-195,428,0,43,18,12,2,9,6,0,25,7,2,5,1,2,1,59.167,12.917,23.889,0.535,0.424
Middle-ground,2348,22348,10,False,0,0,1,10,10,0,75,288,0,0,-213,78,0,23,5,1,0,1,4,0,18,3,1,3,2,0,0,45.5,15,32,0.391,0.459
Middle-ground,2349,22349,10,False,0,0,1,0,70,0,263,409,0,20,-166,261,0,33,12,7,2,3,5,0,21,4,3,5,2,0,0,66.667,13.75,22.5,0.576,0.374
Middle-ground,2350,22350,3,True,0,90,1,23,64.5,1,120,310,0,0,-190,150,0,21,6,6,1,5,0,0,15,1,0,3,2,1,1,80.833,15,20,0.667,0.331
Middle-ground,2351,22351,4,True,0,57,1,10,60,0,243,323,47,30,-157,244,1,32,10,6,1,3,4,0,22,0,3,6,2,1,1,61,13.05,26,0.438,0.378
Middle-ground,2352,22352,3,True,0,39,1,20,60,0,215,344,0,10,-139,282,0,24,10,6,0,6,4,0,14,4,1,4,1,2,1,62.875,14.25,23,0.5,0.283
