profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,10,False,2245,0,3,1383,1383,2,5519,1229,2115,30,2145,8590,26,68,52,51,34,15,1,16,0,10,2,6,0,4,5,140.875,2.654,63.49,51.346,0.838,0.932
Investigator,2346,12346,10,False,1563,0,3,1404.5,1404.5,0,5715,1268,2944,40,1463,11316,31,70,54,52,36,13,2,14,2,12,3,7,0,4,5.25,132.994,2.574,60.546,50.185,0.829,0.883
Investigator,2347,12347,10,False,1067,0,3,1355.5,1355.5,4,5483,1288,3208,20,967,15477,32,62,54,53,32,20,1,8,0,16,1,5,0,4,8.5,146.138,2.574,66.722,49.63,0.806,0.835
Investigator,2348,12348,10,False,1482,0,3,1141,1141,3,5085,1347,2346,10,1382,8426,26,62,44,43,25,18,1,11,7,21,0,4,0,4,7.5,140.746,2.545,64.818,50.909,0.774,0.853
Investigator,2349,12349,10,False,2137,0,3,1313,1313,0,5787,1218,2502,30,2037,12396,28,65,48,46,32,12,2,15,2,14,2,6,0,4,7.5,142.276,2.708,68.271,53.958,0.769,0.83
Investigator,2350,12350,10,False,1289,0,3,1014.5,1014.5,2,4936,1244,2493,10,1189,10570,27,74,47,43,27,16,4,22,5,18,0,4,0,4,7.75,127.93,2.553,63.947,60.213,0.757,0.868
Investigator,2351,12351,10,False,2399,0,3,1429,1429,0,5575,1290,1966,20,2299,8296,23,60,48,47,33,13,1,11,1,13,1,5,0,4,6.75,144.114,2.729,68.188,51.042,0.8,0.921
Investigator,2352,12352,10,False,1971,0,3,1047.5,1047.5,3,5321,1246,2184,20,1871,8067,26,77,46,44,29,14,2,23,8,17,1,5,0,4,6,133.178,2.696,61.033,54.348,0.727,0.838
Investigator,2353,12353,10,False,743,0,3,1019.5,1019.5,0,4295,1216,2416,20,643,9071,27,68,41,40,26,13,1,22,5,17,1,5,0,4,7.5,142.155,2.683,62.732,50.244,0.75,0.846
Investigator,2354,12354,10,False,1943,0,3,1358,1358,0,5914,1268,2773,30,1843,11365,29,67,56,54,34,18,2,9,2,17,2,6,0,4,5.25,140.387,2.5,63.509,49.643,0.806,0.897
Middle-ground,2345,22345,10,False,632,0,2,496.5,516.5,0,2776,871,1353,20,532,6260,17,57,42,35,7,26,7,0,15,18,2,5,0,3,6,105.81,2.167,45.286,47.381,0.456,0.349
Middle-ground,2346,22346,10,False,1014,0,3,950.5,950.5,5,3550,976,1640,20,914,5441,20,59,51,51,14,35,0,0,8,17,2,5,0,3,6.667,127.858,1.902,42.284,38.235,0.525,0.358
Middle-ground,2347,22347,10,False,1124,0,3,798.5,798.5,5,3825,843,1928,30,1024,6051,24,63,47,45,17,25,2,1,15,13,3,6,0,3,6,126.477,2.34,50.936,48.298,0.46,0.431
Middle-ground,2348,22348,10,False,1279,0,3,730.5,730.5,0,4057,962,1896,20,1179,8462,22,66,52,45,10,33,7,0,14,17,2,5,0,3,7.333,119.236,2.212,51.808,49.808,0.485,0.326
Middle-ground,2349,22349,10,False,727,0,2,511,685.5,0,3357,778,1942,10,627,8642,22,53,51,47,12,34,4,0,2,11,1,4,0,3,7.333,122.317,1.961,45.02,40.784,0.434,0.333
Middle-ground,2350,22350,10,False,1553,0,3,939,939,5,3993,1001,1539,0,1453,6107,18,54,46,45,13,32,1,0,8,14,0,3,0,3,7,124.042,2.217,53.587,48.478,0.611,0.397
Middle-ground,2351,22351,10,False,489,0,2,342.5,708,3,3341,943,1989,20,389,8884,23,65,53,49,12,35,4,0,12,16,2,5,0,3,6.333,117.936,1.906,43.736,43.396,0.4,0.321
Middle-ground,2352,22352,10,False,875,0,3,623.5,623.5,2,2990,930,1275,10,775,4780,16,68,40,38,11,26,2,2,26,16,1,4,0,3,6,123.15,2.35,49.55,44,0.574,0.426
Middle-ground,2353,22353,10,False,891,0,3,765,765,4,3251,988,1462,10,791,5614,18,69,45,42,9,33,3,0,24,12,1,4,0,3,6.667,121.687,2.133,46.033,42.667,0.435,0.389
Middle-ground,2354,22354,10,False,930,0,3,691.5,691.5,2,3451,914,1687,20,830,8156,21,59,44,43,9,32,1,0,15,14,2,5,0,3,6.333,119.064,2.136,47.284,47.5,0.492,0.329
Traiter,2345,32345,10,False,294,0,3,776.5,776.5,0,2732,932,1586,20,194,8285,19,60,46,43,11,30,3,4,10,15,2,5,0,3,5.333,120.344,2.022,42.663,37.826,1,0.733
Traiter,2346,32346,10,False,1167,0,3,752,782,1,3144,875,1182,20,1067,5454,15,59,48,47,12,33,1,0,11,13,2,5,0,3,4.333,115.432,1.938,40.615,40.208,1,0.723
Traiter,2347,32347,10,False,256,0,2,458.5,590.5,5,2212,889,1167,0,156,5357,15,59,47,40,10,30,7,3,9,15,0,3,0,3,6,115.649,1.723,36.851,33.83,1,0.749
Traiter,2348,32348,10,False,1133,0,3,804.5,804.5,0,3443,995,1415,0,1033,4943,17,57,41,39,12,27,2,1,15,23,0,3,0,3,6.667,111.243,1.951,43.793,44.878,1,0.773
Traiter,2349,32349,10,False,895,0,3,1042,1042,5,3670,969,1896,10,795,7876,22,70,50,49,16,32,1,7,13,15,1,4,0,3,7.333,124.731,2.06,49.26,41.2,1,0.716
Traiter,2350,32350,10,False,780,0,2,594,594,4,2792,858,1244,10,680,4537,16,73,49,43,15,27,6,4,20,13,1,4,0,3,6,119.932,2.061,43,38.571,1,0.745
Traiter,2351,32351,10,False,1020,0,3,800,800,0,3149,861,1338,30,920,4608,18,71,41,41,11,27,0,6,24,14,3,6,0,3,4.667,125.364,2.146,48.171,40.244,1,0.732
Traiter,2352,32352,10,False,1421,0,3,918.5,918.5,2,4160,996,1833,10,1321,7655,20,73,53,50,13,36,3,5,15,12,1,4,0,3,7.667,115.637,1.868,42.972,43.019,1,0.702
Traiter,2353,32353,10,False,1812,0,3,1182,1182,5,4181,930,1539,0,1712,5909,18,72,46,45,16,29,1,8,18,17,0,3,0,3,7,121.371,2.174,53.478,44.348,1,0.76
Traiter,2354,32354,10,False,1827,0,3,1411.5,1411.5,3,5275,1055,2493,0,1727,11285,24,68,59,57,19,38,2,0,9,8,0,3,0,3,9,137.404,2.203,59.186,45.085,1,0.772
Lazy,2345,42345,10,False,1013,0,2,330.5,330.5,0,1891,968,0,10,913,4180,0,47,31,27,1,25,4,0,16,21,1,4,0,3,1.333,111.073,2.774,37.21,40.968,0.383,0.143
Lazy,2346,42346,10,False,1179,0,2,329.5,339.5,0,2028,939,0,10,1079,4942,0,66,43,27,5,21,16,0,23,21,1,4,0,3,1,82.616,2.116,29.128,42.558,0.545,0.196
Lazy,2347,42347,10,False,2162,0,2,524.5,524.5,0,3044,972,0,10,2062,5247,0,53,46,37,3,33,9,0,7,21,1,4,0,3,1.333,110.033,2.565,39.196,47.391,0.453,0.161
Lazy,2348,42348,10,False,2645,0,2,539.5,539.5,0,3394,839,0,10,2545,6139,0,51,47,39,2,36,8,0,4,11,1,4,0,3,1.333,96.351,2.617,35.777,47.872,0.451,0.114
Lazy,2349,42349,10,False,1748,0,2,383,383,0,2552,894,0,10,1648,6901,0,66,44,30,4,25,14,0,22,20,1,4,0,3,1.333,89.224,2.364,33.273,42.273,0.455,0.229
Lazy,2350,42350,10,False,898,0,2,328,328,0,1764,956,0,10,798,5546,0,44,33,25,3,21,8,0,11,25,1,4,0,3,1.333,109.886,2.515,35.045,39.091,0.545,0.244
Lazy,2351,42351,10,False,1816,0,2,459.5,459.5,0,2604,868,0,20,1716,5853,0,50,43,35,2,31,8,0,7,24,2,5,0,3,1,96.483,2.372,28.953,38.372,0.3,0.074
Lazy,2352,42352,10,False,1737,0,2,445.5,445.5,0,2607,960,0,10,1637,6986,0,54,41,33,3,30,8,0,13,20,1,4,0,3,1.333,107.866,2.512,34.646,44.634,0.537,0.21
Lazy,2353,42353,10,False,1649,0,2,519,519,0,2537,968,0,20,1549,4891,0,70,49,37,5,31,12,0,21,23,2,5,0,3,1.333,103.903,2.367,34.929,41.429,0.6,0.184
Lazy,2354,42354,10,False,2314,0,2,484,484,0,3157,923,0,20,2214,7534,0,65,46,34,7,26,12,0,19,18,2,5,0,3,1.667,90.13,2.413,35.641,42.609,0.523,0.214
