profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,ordersGenerated,ordersSent,ordersCompleted,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageSuccessChance,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,10,False,99,0,1,30,0,1052,983,0,70,-1,46,45,3,42,1,0,13,7,10,0,3,6.111,1,1
Investigator,2346,12346,10,False,223,0,1,0,0,1288,1085,0,80,123,72,47,0,47,25,0,15,7,11,0,4,3.085,1,1
Investigator,2347,12347,10,False,256,0,1,20,0,1220,964,0,100,156,69,45,2,43,24,0,12,10,13,0,3,3,1,1
Investigator,2348,12348,10,False,193,0,1,0,0,1208,1035,0,80,93,65,44,0,44,21,0,11,7,11,0,4,1.591,1,1
Investigator,2349,12349,10,False,96,0,1,10,0,1092,1036,0,60,-4,46,46,2,44,0,0,24,5,9,0,4,4.13,1,1
Investigator,2350,12350,10,False,139,0,1,20,0,1114,1015,0,60,39,48,48,4,44,0,0,20,5,9,0,4,6.354,1,1
Investigator,2351,12351,10,False,181,0,1,20,0,1135,964,0,90,81,54,47,2,45,7,0,15,8,12,0,4,3.191,1,1
Investigator,2352,12352,10,False,225,0,1,50,0,1211,1026,0,60,125,68,42,5,37,26,0,10,5,9,0,4,4.405,1,1
Investigator,2353,12353,10,False,178,0,1,30,0,1147,989,0,80,78,51,47,3,44,4,0,18,9,11,0,2,3.936,1,1
Investigator,2354,12354,9,True,0,62,1,0,0,905,1007,0,60,-162,41,40,1,39,1,0,13,6,9,2,1,3.5,1,1
Middle-ground,2345,22345,10,False,265,0,1,10,0,799,574,0,60,165,36,35,1,34,1,0,11,5,9,1,3,4.857,0.417,0.338
Middle-ground,2346,22346,10,False,205,0,1,10,0,910,735,0,70,105,37,37,1,36,0,0,12,9,10,0,1,2.432,0.541,0.399
Middle-ground,2347,22347,10,False,345,0,1,0,0,1079,744,0,90,245,50,47,0,47,3,0,15,9,12,0,3,0.851,0.48,0.377
Middle-ground,2348,22348,10,False,370,0,1,20,0,1144,824,0,50,270,46,43,2,41,3,0,15,6,8,0,2,2.326,0.413,0.404
Middle-ground,2349,22349,10,False,146,0,1,0,0,913,837,0,30,46,40,39,1,38,1,0,17,4,6,0,2,0.897,0.45,0.241
Middle-ground,2350,22350,10,False,188,0,1,10,0,916,778,0,50,88,43,39,1,38,4,0,14,5,8,0,3,2.949,0.512,0.401
