profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,10,False,1472,0,3,1075.5,1134.5,1,3900,1134,1354,40,1372,5751,18,79,46,45,29,13,1,18,15,13,3,7,0,4,5.5,141.733,2.587,54.946,43.696,0.861,0.949
Investigator,2346,12346,3,True,0,143,1,0,20,0,67,310,0,0,-243,399,0,24,2,2,0,2,0,0,22,4,0,3,2,1,1,128.75,3,33.75,25,1,1
Investigator,2347,12347,10,False,1650,0,3,1919,1919,3,5504,1172,2742,40,1550,12920,29,66,45,44,22,19,1,13,8,17,3,7,0,4,3.75,132.483,2.711,65.522,55.778,0.803,0.798
Investigator,2348,12348,10,False,775,0,4,2553,2824.5,28,4412,1234,2493,10,675,9293,27,66,47,47,28,19,0,9,10,20,0,4,0,4,7.75,146.218,2.596,64.553,47.447,0.833,0.9
Investigator,2349,12349,3,True,0,53,1,45.5,211.5,10,397,399,141,10,-153,1708,3,24,12,12,10,2,0,0,12,3,0,4,2,2,1.5,140.417,2.167,33.75,25,1,1
Investigator,2350,12350,10,False,785,0,3,1330,1330,1,3872,1092,2075,20,685,9399,24,76,44,43,27,15,1,22,10,20,1,5,0,4,7,141.753,2.455,57.364,45.455,0.855,0.923
Investigator,2351,12351,10,False,2541,0,3,1454.5,1454.5,0,5594,1137,1966,50,2441,8012,23,77,52,51,28,20,1,16,9,20,4,8,0,4,4.75,138.914,2.635,62.115,46.538,0.675,0.795
Investigator,2352,12352,10,False,1071,0,3,1179,1583,2,3682,1254,1447,10,971,5794,19,80,43,41,28,13,2,18,19,18,0,4,0,4,5.75,136.561,2.581,52.744,49.07,0.838,0.874
Investigator,2353,12353,10,False,883,0,3,1571,1808.5,0,4817,1241,2773,20,783,10772,30,61,45,44,26,17,1,8,8,19,1,5,0,4,7,142.517,2.711,65.578,49.556,0.787,0.822
Investigator,2354,12354,10,False,1652,0,3,1190,1190,2,4644,1064,1998,30,1552,8664,25,66,43,40,22,17,3,18,5,17,2,6,0,4,5.25,138.478,2.651,64.581,55.116,0.727,0.814
Middle-ground,2345,22345,10,False,447,0,2,237,364.5,1,1826,898,561,20,347,4151,9,58,43,29,9,19,14,0,15,19,2,5,0,3,4,96.731,1.837,32.895,40.233,0.466,0.321
Middle-ground,2346,22346,10,False,144,0,2,489,489,3,2239,894,1291,10,44,4593,16,73,40,34,9,24,6,0,33,20,1,4,0,3,6.333,111.331,1.975,38.363,38.25,0.521,0.41
Middle-ground,2347,22347,10,False,436,0,2,470,589,5,2055,874,825,20,336,3595,13,65,48,41,15,25,7,0,17,12,1,5,1,3,4.333,118.254,1.938,34.344,31.875,0.508,0.435
Middle-ground,2348,22348,10,False,1036,0,2,528,528,0,3044,921,1167,20,936,4738,16,70,43,38,7,29,5,0,27,17,2,5,0,3,5.667,108.826,2.14,42.36,49.535,0.457,0.364
Middle-ground,2349,22349,10,False,390,0,2,417.5,592,2,2946,851,1795,10,290,8132,21,54,47,42,9,32,5,0,7,18,1,4,0,3,6,118.658,1.851,41.628,40,0.463,0.318
Middle-ground,2350,22350,10,False,1324,0,3,668,668,2,3651,898,1509,20,1224,5687,20,69,48,43,5,36,5,2,19,21,2,5,0,3,5.333,114.915,2.063,46.781,45.833,0.536,0.353
Middle-ground,2351,22351,10,False,442,0,3,666,666,0,3167,992,1833,0,342,7971,20,62,47,41,12,29,6,0,15,20,0,3,0,3,7.667,110.892,1.872,42.266,45.106,0.403,0.339
Middle-ground,2352,22352,10,False,523,0,2,466,466,1,2537,953,1151,10,423,4374,15,70,37,34,6,27,3,0,33,18,1,4,0,3,5.333,124.905,2.243,47.838,45.135,0.529,0.308
Middle-ground,2353,22353,10,False,878,0,3,777,777,0,3309,972,1539,20,778,6578,18,61,40,39,11,26,1,1,20,21,2,5,0,3,5,116.214,2.2,45.1,47,0.492,0.476
Middle-ground,2354,22354,10,False,935,0,3,722,722,2,3407,845,1687,40,835,6542,21,69,46,45,9,32,1,0,23,15,4,7,0,3,5.333,128.376,2.304,51.402,44.348,0.551,0.322
Traiter,2345,32345,10,False,249,0,2,408.5,408.5,0,2252,813,1260,30,149,5299,17,71,31,30,5,22,1,3,37,17,3,6,0,3,3.667,121.344,2.129,41.919,37.097,1,0.685
Traiter,2346,32346,10,False,1172,0,3,933,963,6,3459,962,1415,10,1072,6023,17,71,49,48,11,36,1,1,21,18,1,4,0,3,6.667,116.548,2.041,44.429,42.245,1,0.735
Traiter,2347,32347,10,False,257,0,2,334.5,529,3,2264,940,1167,0,157,6878,15,52,40,37,7,30,3,1,11,21,0,3,0,3,6,132.321,2.175,48.075,38.25,1,0.702
Traiter,2348,32348,10,False,834,0,2,510.5,510.5,1,2548,866,918,30,734,3701,13,57,39,36,12,21,3,3,15,17,3,6,0,3,4.333,123.968,1.949,37.064,37.949,1,0.757
Traiter,2349,32349,10,False,459,0,2,514,514,4,2776,961,1446,10,359,5855,18,67,38,34,7,26,4,6,23,15,1,4,0,3,6,118.882,2.026,44.763,42.895,1,0.728
Traiter,2350,32350,10,False,738,0,2,608.5,608.5,2,2715,864,1183,30,638,4176,17,76,48,44,13,29,4,3,25,13,3,6,0,3,4,129.92,2.083,42.792,35,1,0.762
Traiter,2351,32351,10,False,1536,0,3,857,857,0,3860,895,1509,20,1436,5619,20,66,48,46,14,30,2,4,14,15,2,5,0,3,6,123.72,2.146,50.115,44.583,1,0.746
Traiter,2352,32352,10,False,403,0,3,992.5,992.5,9,2849,1007,1539,0,303,7043,18,65,37,37,9,28,0,4,24,17,0,3,0,3,7,126.851,2.297,52.811,41.351,1,0.684
Traiter,2353,32353,10,False,1312,0,3,938.5,938.5,6,3732,924,1586,10,1212,5353,19,59,43,43,7,35,0,4,12,18,1,4,0,3,7,128.668,2.163,51,41.86,1,0.687
Traiter,2354,32354,10,False,298,0,3,722,722,3,3067,1036,1833,0,198,7342,20,55,44,41,14,27,3,1,10,18,0,3,0,3,7.667,123.705,2.159,46.693,39.545,1,0.732
Lazy,2345,42345,10,False,1535,0,2,461,461,0,2351,906,0,10,1435,4361,0,47,40,34,3,30,6,0,7,25,1,4,0,3,1,98.594,2.425,35.063,42,0.596,0.231
Lazy,2346,42346,10,False,1544,0,2,385,395,0,2393,939,0,10,1444,5246,0,50,43,30,3,26,13,0,7,24,1,4,0,3,1,73.547,2.047,27.907,45.116,0.36,0.148
Lazy,2347,42347,10,False,1915,0,2,499,499,0,2797,972,0,10,1815,5315,0,54,44,37,4,32,7,0,10,16,2,4,0,2,1.5,117.432,2.659,41.523,44.773,0.5,0.182
Lazy,2348,42348,10,False,2228,0,2,486.5,486.5,0,2958,810,0,20,2128,5512,0,60,45,37,1,34,8,0,15,11,2,5,0,3,1.333,101.133,2.6,35.867,44.222,0.433,0.137
Lazy,2349,42349,10,False,2647,0,2,590,590,0,3462,895,0,20,2547,10704,0,51,49,39,3,34,10,0,2,19,2,5,0,3,1.333,92.571,2.286,33.214,49.388,0.549,0.188
Lazy,2350,42350,10,False,898,0,2,328,328,0,1764,956,0,10,798,5546,0,44,33,25,3,21,8,0,11,25,1,4,0,3,1.333,109.886,2.515,35.045,39.091,0.545,0.244
Lazy,2351,42351,10,False,1801,0,2,486.5,486.5,0,2678,957,0,20,1701,6671,0,61,46,36,4,30,10,0,15,20,2,5,0,3,1.333,87.027,2.152,28.533,40.217,0.459,0.197
Lazy,2352,42352,10,False,1428,0,2,321.5,321.5,0,2224,866,0,30,1328,7558,0,48,35,25,1,22,10,0,13,20,3,6,0,3,1,88,2.4,31.286,45.143,0.458,0.201
Lazy,2353,42353,10,False,1267,0,2,400.5,400.5,1,2046,849,0,30,1167,3912,0,51,35,32,1,28,3,0,16,21,3,6,0,3,1,111.75,2.4,34.286,37.429,0.412,0.152
Lazy,2354,42354,10,False,1276,0,2,388.5,388.5,0,2128,942,0,10,1176,5480,0,54,37,30,6,23,7,0,17,22,2,4,0,2,1.5,94.541,2.216,32.797,37.568,0.519,0.211
